date,category,amount,memo
2026-01-01,Expense,1850.00,Rent - January
2026-01-03,Expense,62.75,Groceries - Whole Foods
2026-01-03,Expense,14.99,Netflix subscription
2026-01-05,Expense,45.20,Dinner at restaurant
2026-01-07,Expense,55.00,CTA monthly transit pass
2026-01-09,Income,4250.00,Salary paycheck (bi-weekly)
2026-01-10,Expense,120.00,Health insurance premium
2026-01-12,Expense,78.40,Electric & gas bill
2026-01-12,Expense,69.99,Internet bill
2026-01-14,Expense,12.99,Spotify subscription
2026-01-15,Expense,38.50,Groceries - Trader Joe's
2026-01-17,Expense,200.00,Student loan payment
2026-01-18,Expense,32.00,Coffee shop (month total)
2026-01-20,Expense,89.00,New work clothes - Amazon
2026-01-22,Income,4250.00,Salary paycheck (bi-weekly)
2026-01-24,Expense,49.00,Gym membership
2026-01-25,Expense,65.30,Groceries - Whole Foods
2026-01-27,Expense,22.00,Lunch with coworkers
2026-01-29,Expense,15.99,ChatGPT Plus subscription
2026-01-30,Expense,110.00,Phone bill
2026-02-01,Expense,1850.00,Rent - February
2026-02-02,Expense,55.80,Groceries - Trader Joe's
2026-02-04,Expense,14.99,Netflix subscription
2026-02-05,Income,4250.00,Salary paycheck (bi-weekly)
2026-02-07,Expense,45.00,CTA monthly transit pass
2026-02-08,Expense,120.00,Health insurance premium
2026-02-10,Expense,72.15,Electric & gas bill
2026-02-12,Expense,69.99,Internet bill
2026-02-14,Expense,85.00,Valentine's Day dinner
2026-02-16,Expense,200.00,Student loan payment
2026-02-17,Expense,12.99,Spotify subscription
2026-02-19,Income,4250.00,Salary paycheck (bi-weekly)
2026-02-20,Expense,49.00,Gym membership
2026-02-21,Expense,60.40,Groceries - Whole Foods
2026-02-22,Expense,15.99,ChatGPT Plus subscription
2026-02-24,Expense,110.00,Phone bill
2026-02-25,Expense,135.00,New mechanical keyboard
2026-02-27,Expense,34.50,Uber rides
2026-03-01,Expense,1850.00,Rent - March
2026-03-02,Expense,500.00,Federal tax payment (Q1 estimated)
2026-03-03,Expense,14.99,Netflix subscription
2026-03-05,Income,4250.00,Salary paycheck (bi-weekly)
2026-03-06,Expense,55.00,CTA monthly transit pass
2026-03-08,Expense,120.00,Health insurance premium
2026-03-09,Expense,66.90,Electric & gas bill
2026-03-10,Expense,69.99,Internet bill
2026-03-12,Expense,200.00,Student loan payment
2026-03-13,Expense,12.99,Spotify subscription
2026-03-14,Expense,74.25,Groceries - Trader Joe's
2026-03-15,Income,500.00,Freelance project payment
2026-03-17,Expense,49.00,Gym membership
2026-03-19,Income,4250.00,Salary paycheck (bi-weekly)
2026-03-20,Expense,15.99,ChatGPT Plus subscription
2026-03-21,Expense,110.00,Phone bill
2026-03-22,Expense,220.00,Flight home for Easter weekend
2026-03-24,Expense,58.60,Groceries - Whole Foods
2026-03-26,Expense,42.00,Dinner with friends
2026-03-28,Expense,29.99,Tech book - O'Reilly
2026-04-01,Expense,1850.00,Rent - April
2026-04-02,Income,4250.00,Salary paycheck (bi-weekly)
2026-04-03,Expense,14.99,Netflix subscription
2026-04-05,Expense,55.00,CTA monthly transit pass
2026-04-06,Expense,120.00,Health insurance premium
2026-04-08,Expense,58.75,Electric & gas bill
2026-04-09,Expense,69.99,Internet bill
2026-04-11,Expense,200.00,Student loan payment
2026-04-12,Expense,12.99,Spotify subscription
2026-04-13,Expense,67.30,Groceries - Trader Joe's
2026-04-15,Expense,15.99,ChatGPT Plus subscription
2026-04-16,Income,4250.00,Salary paycheck (bi-weekly)
2026-04-17,Expense,49.00,Gym membership
2026-04-18,Expense,110.00,Phone bill
2026-04-20,Expense,62.40,Groceries - Whole Foods
2026-04-22,Income,150.00,AWS certification exam reimbursement
2026-04-23,Expense,320.00,AWS certification exam fee
2026-04-25,Expense,55.00,Happy hour with team
2026-04-27,Expense,18.00,Parking downtown
2026-04-29,Expense,44.99,GitHub Copilot (annual prorated)
